title,year
Flipper,1996
The Constant Gardener,2005
Mrs. Doubtfire,1993
Rain Man,1988
The Bodyguard,1992
The Fifth Estate,2013
Scooby-Doo 2: Monsters Unleashed,2004
Forbidden Kingdom,2014
Freddy vs. Jason,2003
The Face of an Angel,2014
Jimmy Neutron: Boy Genius,2001
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991
The Untouchables,1987
Ride Along,2014
Bridget Jones's Diary,2001
Chocolat,2000
"Legally Blonde 2: Red, White & Blonde",2003
Parental Guidance,2012
Tombstone,1993
Romeo Must Die,2000
The Omen,1976
Final Destination 3,2006
Finding Neverland,2004
Hide and Seek,2005
Anchorman: The Legend of Ron Burgundy,2004
Agent Cody Banks,2003
Nanny McPhee,2005
Scarface,1983
Nothing to Lose,1997
The Last Emperor,1987
Money Talks,1997
The Wild Thornberrys Movie,2002
Rugrats Go Wild,2003
Undercover Brother,2002
The Sisterhood of the Traveling Pants,2005
Kiss of the Dragon,2001
Beauty Shop,2005
What a Girl Wants,2003
Jeepers Creepers 2,2003
Cradle 2 the Grave,2003
The Hours,2002
Mr. Bean's Holiday,2007
Anacondas: The Hunt for the Blood Orchid,2004
Blood Ties,2013
Elizabeth,1998
Bride of Chucky,1998
Tora! Tora! Tora!,1970
Spice World,1997
The Sitter,2011
Dance Flick,2009
The Shawshank Redemption,1994
Crocodile Dundee in Los Angeles,2001
Kingpin,1996
August: Osage County,2013
Ice Princess,2005
A Lot Like Love,2005
He Got Game,1998
Don Juan DeMarco,1994
Dear John,2010
War,2007
Punch-Drunk Love,2002
EuroTrip,2004
Half Past Dead,2002
Unaccompanied Minors,2006
"Bright Lights, Big City",1988
The Adventures of Pinocchio,1996
The Greatest Game Ever Played,2005
The Ruins,2008
The Next Best Thing,2000
My Soul to Take,2010
The Girl Next Door,2004
Maximum Risk,1996
Stealing Harvard,2002
Hot Rod,2007
Angela's Ashes,1999
Draft Day,2014
Lifeforce,1985
Lords of Dogtown,2005
The 33,2015
Fly Me to the Moon,2012
Michael Collins,1996
Gettysburg,1993
Abandon,2002
Brokedown Palace,1999
Mrs. Winterbourne,1996
The Hoax,2006
Stone Cold,1991
Sheena,1984
Underclassman,2005
Say It Isn't So,2001
The World's Fastest Indian,2005
Tank Girl,1995
King's Ransom,2005
Where the Truth Lies,2005
Cirque du Soleil: Worlds Away,2012
Without Limits,1998
Me and Orson Welles,2009
The Bad Lieutenant: Port of Call - New Orleans,2009
A Turtle's Tale: Sammy's Adventures,2010
Love Ranch,2010
The True Story of Puss 'n Boots,2009
Space Dogs,2010
Ironclad,2011
Waterloo,1970
Kung Fu Jungle,2014
Red Sky,2014
Dangerous Liaisons,1988
Star Trek IV: The Voyage Home,1986
Scream 2,1997
Think Like a Man Too,2014
The Whole Nine Yards,2000
Footloose,1984
The Fisher King,1991
I Still Know What You Did Last Summer,1998
Return to Me,2000
Nurse Betty,2000
Double Take,2001
"Girl, Interrupted",1999
Win a Date with Tad Hamilton!,2004
Muppets from Space,1999
The Wiz,1978
Play It to the Bone,1999
Beyond the Sea,2004
Meet the Deedles,1998
The Thief and the Cobbler,1993
Howl's Moving Castle,2004
The Waterboy,1998
Bad Boys,1995
The Naked Gun 2ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Â ÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã¢â‚¬Â¦Ãƒâ€šÃ‚Â¡ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¦Ã‚Â¡ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â½: The Smell of Fear,1991
Final Destination,2000
Someone Like You...,2001
Joy Ride,2001
The Adventurer: The Curse of the Midas Box,2013
The Crew,2000
Jaws: The Revenge,1987
Marvin's Room,1996
The Longshots,2008
The End of the Affair,1999
Forsaken,2015
Cheri,2009
Vanity Fair,2004
Ghost,1990
The Santa Clause,1994
The Rookie,2002
The Bridges of Madison County,1995
The Animal,2001
Gandhi,1982
The Hundred-Foot Journey,2014
The Net,1995
I Am Sam,2001
Son of God,2014
Shadowlands,1993
Deuce Bigalow: European Gigolo,2005
Delivery Man,2013
Our Kind of Traitor,2016
Saving Silverman,2001
Summer of Sam,1999
Jay and Silent Bob Strike Back,2001
The Glass House,2001
Josie and the Pussycats,2001
Homefront,2013
The Little Vampire,2000
I Heart Huckabees,2004
RoboCop 3,1993
Megiddo: The Omega Code 2,2001
Darling Lili,1970
Dudley Do-Right,1999
The Libertine,2004
Black Book,2006
Joyeux NoÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Â ÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¦Ã‚Â¡ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â«l,2005
Mad Money,2008
Before I Go to Sleep,2014
Sorcerer,1977
My Fellow Americans,1996
Arlington Road,1999
Underdogs,2013
Firefox,1982
"South Park: Bigger, Longer & Uncut",1999
Teenage Mutant Ninja Turtles III,1993
Hardball,2001
The Transporter,2002
The Rage: Carrie 2,1999
Away We Go,2009
Swing Vote,2008
Moonlight Mile,2002
Molly,1999
The Best Little Whorehouse in Texas,1982
eXistenZ,1999
Home Alone 2: Lost in New York,1992
Close Encounters of the Third Kind,1977
Beverly Hills Cop II,1987
Bringing Down the House,2003
The Silence of the Lambs,1991
Wayne's World,1992
Jackass 3D,2010
Jaws 2,1978
Beverly Hills Chihuahua,2008
Are We There Yet?,2005
Tammy,2014
Mortal Kombat,1995
White Chicks,2004
Holes,2003
The Last Song,2010
Drumline,2002
Edward Scissorhands,1990
The French Connection,1971
Date Movie,2006
Return to Never Land,2002
The Jungle Book 2,2003
Premonition,2007
Epic Movie,2007
Lakeview Terrace,2008
How Stella Got Her Groove Back,1998
Bill & Ted's Bogus Journey,1991
Man of the Year,2006
The Black Hole,1979
Selena,1997
This Is Where I Leave You,2014
Doubt,2008
Copycat,1995
Scary Movie 5,2013
Paint Your Wagon,1969
Risen,2016
Ghost Ship,2002
Wild Things,1998
High Fidelity,2000
Eye for an Eye,1996
You Again,2010
Street Kings,2008
Nancy Drew,2007
Monte Carlo,2011
Stay Alive,2006
Quigley Down Under,1990
The Covenant,2006
Stick It,2006
Shorts,2009
To Die For,1995
Appaloosa,2008
Psycho,2060
Georgia Rule,2007
Under the Rainbow,1981
Ladyhawke,1985
Simon Birch,1998
School for Scoundrels,2006
Silent Hill: Revelation 3D,2012
Pooh's Heffalump Movie,2005
Home for the Holidays,1995
Kung Fu Hustle,2004
Paparazzi,2004
A Guy Thing,2003
Loser,2000
The Greatest Story Ever Told,2065
Armored,2009
The Man Who Knew Too Little,1997
Envy,2004
Bullets Over Broadway,1994
The Quiet American,2002
The Weather Man,2005
Undisputed,2002
Ghost Town,2008
3 Ninjas Kick Back,1994
Be Kind Rewind,2008
Mrs Henderson Presents,2005
Deconstructing Harry,1997
Three to Tango,1999
We're No Angels,1989
Everyone Says I Love You,1996
Death Sentence,2007
The Man,2005
Code Name: The Cleaner,2007
Connie and Carla,2004
Sweet Charity,1969
Battle of the Year,2013
Machete Kills,2013
Willard,2003
Strange Wilderness,2008
Topsy-Turvy,1999
Chasing Mavericks,2012
Alone in the Dark,2005
Birth,2004
The Cold Light of Day,2012
Princess Mononoke,1997
Bon voyage,2003
Can't Stop the Music,1980
The Proposition,2005
Marci X,2003
Equilibrium,2002
The Oogieloves in the Big Balloon Adventure,2012
By the Sea,2015
Steamboy,2004
The Game of Their Lives,2005
Rapa Nui,1994
CJ7,2008
The Visitors II: The Corridors of Time,1998
People I Know,2002
Three Kingdoms: Resurrection of the Dragon,2008
Butterfly on a Wheel,2007
Ramanujan,2014
The Frozen Ground,2013
The Painted Veil,2006
Dances with Wolves,1990
Sea of Love,1989
Scream,1996
Thir13en Ghosts,2001
The Shining,1980
House on Haunted Hill,1999
I Can Do Bad All By Myself,2009
Just Married,2003
The Devil's Double,2011
Thomas and the Magic Railroad,2000
The Crazies,2010
Firestorm,2013
The Bounty,1984
The Fall of the Roman Empire,2064
Won't Back Down,2012
The Nutcracker,1993
Kansas City,1996
The Amityville Horror,2005
Land of the Dead,2005
Out of Inferno,2013
Fear and Loathing in Las Vegas,1998
The Mask,1994
Big,1988
Legally Blonde,2001
Star Trek III: The Search for Spock,1984
The Exorcism of Emily Rose,2005
Deuce Bigalow: Male Gigolo,1999
The Family Stone,2005
Barbershop 2:  Back in Business,2004
Austin Powers: International Man of Mystery,1997
Predator,1987
Amadeus,1984
Under the Tuscan Sun,2003
Gosford Park,2001
Peggy Sue Got Married,1986
Birdman,2014
United 93,2006
Honey,2003
Spy Hard,1996
Catch-22,1970
Observe and Report,2009
Conan the Destroyer,1984
Raging Bull,1980
Young Sherlock Holmes,1985
Fame,2009
Small Time Crooks,2000
Center Stage,2000
Catch That Kid,2004
Life as a House,2001
The Legend of the Lone Ranger,1981
The Tailor of Panama,2001
Blow Out,1981
The Ice Storm,1997
And So It Goes,2014
Troop Beverly Hills,1989
Being Julia,2004
Nine 1/2 Weeks,1986
Dragonslayer,1981
Ed Wood,1994
Labor Day,2013
Mongol: The Rise of Genghis Khan,2007
Megaforce,1982
Hamlet,1996
Anything Else,2003
The Railway Man,2013
Restoration,2016
The Wraith,1986
Salton Sea,2002
Metallica: Through the Never,2013
Carlos,2010
I Come with the Rain,2009
One Man's Hero,1999
Day of the Dead,1985
I Am Wrath,2016
Renaissance,2006
Red Sonja,1985
Red Lights,2012
Wolves,2014
The Prince,2014
City of Ghosts,2002
The Others,2001
Aliens,1986
My Fair Lady,2064
I Know What You Did Last Summer,1997
Beerfest,2006
The Best Man Holiday,2013
40 Days and 40 Nights,2002
A Night at the Roxbury,1998
Dickie Roberts: Former Child Star,2003
"McFarland, USA",2015
Lottery Ticket,2010
ATL,2006
Summer Catch,2001
A Simple Plan,1998
They,2002
Larry the Cable Guy: Health Inspector,2006
The Adventures of Elmo in Grouchland,1999
Brooklyn's Finest,2009
55 Days at Peking,2063
American Dreamz,2006
Superman IV: The Quest for Peace,1987
How She Move,2008
Bobby Jones: Stroke of Genius,2004
Shanghai Surprise,1986
Veronica Guerin,2003
Escobar: Paradise Lost,2014
Dragon Hunters,2008
Damnation Alley,1977
My Girl,1991
Wall Street,1987
Sense and Sensibility,1995
Sydney White,2007
House of Sand and Fog,2003
Dead Poets Society,1989
Dumb and Dumber,1994
When Harry Met Sally...,1989
The Verdict,1982
Road Trip,2000
Varsity Blues,1999
The Texas Chainsaw Massacre: The Beginning,2006
The Young Messiah,2016
The Master of Disguise,2002
See Spot Run,2001
Baby Boy,2001
Joe Dirt,2001
Double Impact,1991
Arn: The Knight Templar,2007
Boys and Girls,2000
White Oleander,2002
Drowning Mona,2000
Radio Days,1987
How to Deal,2003
My Stepmother is an Alien,1988
Philadelphia,1993
The Thirteenth Floor,1999
The Cookout,2004
Meteor,1979
Duets,2000
Hollywood Ending,2002
Detroit Rock City,1999
Highlander,1986
Steel,1997
The White Countess,2005
Soul Plane,2004
Good,2008
Vamps,2012
Zulu,2013
The Homesman,2014
Ararat,2002
Madison,2001
Slow Burn,2005
Wasabi,2001
Beverly Hills Cop,1984
Three Men and a Baby,1987
Tootsie,1982
Top Gun,1986
"Crouching Tiger, Hidden Dragon",2000
Twins,1988
The Color Purple,1985
Tidal Wave,2009
Private Benjamin,1980
Coal Miner's Daughter,1980
National Lampoon's Vacation,1983
Bad Grandpa,2013
Beetlejuice,1988
Why Did I Get Married?,2007
Little Women,1994
Big Fat Liar,2002
The Deer Hunter,1978
Wag the Dog,1997
Snitch,2013
The Faculty,1998
What's Love Got to Do with It,1993
Not Another Teen Movie,2001
The Skulls,2000
Malibu's Most Wanted,2003
Where the Heart Is,2000
Lawrence of Arabia,2062
Halloween: Resurrection,2002
The Princess Bride,1987
The Great Debaters,2007
Confessions of a Teenage Drama Queen,2004
The Object of My Affection,1998
When the Game Stands Tall,2014
Because of Winn-Dixie,2005
Love & Basketball,2000
Grosse Pointe Blank,1997
Book of Shadows: Blair Witch 2,2000
The Craft,1996
Match Point,2005
The Remains of the Day,1993
Boogie Nights,1997
Nowhere to Run,1993
Flicka,2006
The Hills Have Eyes 2,2007
Urban Legends: Final Cut,2000
Tuck Everlasting,2002
The Marine,2006
Disturbing Behavior,1998
Eye of the Beholder,1999
Firestarter,1984
A Most Wanted Man,2014
Freddy Got Fingered,2001
VeggieTales: The Pirates Who Don't Do Anything,2008
Highlander: Endgame,2000
Idlewild,2006
Whip It,2009
Confidence,2003
The Muse,1999
De-Lovely,2004
New York Stories,1989
Barney's Great Adventure,1998
The Man with the Iron Fists,2012
Home Fries,1998
Here On Earth,2000
Brazil,1985
Dark Blue,2002
Whatever It Takes,2000
Boat Trip,2002
The Importance of Being Earnest,2002
The Love Letter,1998
Hoot,2006
Promised Land,2012
The Three Burials of Melquiades Estrada,2005
Jakob the Liar,1999
Kiss Kiss Bang Bang,2005
Idle Hands,1999
Mulholland Drive,2001
Blood and Chocolate,2007
You Will Meet a Tall Dark Stranger,2010
The Company,2007
Transsiberian,2008
The Clan of the Cave Bear,1986
Crazy in Alabama,1999
Felicia's Journey,1999
Metropolis,2027
Things to Do in Denver When You're Dead,1995
The Assassin,2015
Buffalo Soldiers,2001
The Return,2003
Silent Trigger,1996
The Son of No One,2011
All The Queen's Men,2001
The Good Night,2007
Bathory: Countess of Blood,2008
Dungeons & Dragons: Wrath of the Dragon God,2005
Chiamatemi Francesco - Il Papa della gente,2015
Pandaemonium,2001
Groundhog Day,1993
Unforgiven,1992
Manderlay,2005
Fatal Attraction,1987
Pretty Woman,1990
Crocodile Dundee II,1988
Broken Horses,2015
Born on the Fourth of July,1989
Cool Runnings,1993
Stomp the Yard,2007
Urban Legend,1998
White Fang,1991
Superstar,1999
Jonah: A VeggieTales Movie,2002
All About the Benjamins,2002
Vampire in Brooklyn,1995
Exorcist II: The Heretic,1977
An American Haunting,2005
My Boss's Daughter,2003
A Perfect Getaway,2009
Dead Man on Campus,1998
Tea with Mussolini,1999
Thinner,1996
"New York, New York",1977
Crooklyn,1994
I Think I Love My Wife,2007
Jason X,2001
Bobby,2006
Head Over Heels,2001
Fun Size,2012
The Diving Bell and the Butterfly,2007
Gossip,2000
A Walk on the Moon,1999
Catch a Fire,2006
Soul Survivors,2001
Jefferson in Paris,1995
Caravans,1978
Mr. Turner,2014
Amen.,2002
Stan Helsing,2009
Clueless,1995
Far from Heaven,2002
Hot Tub Time Machine 2,2015
Quills,2000
The Caveman's Valentine,2001
The Sea Inside,2004
Under the Skin,2014
"Good Morning, Vietnam",1987
The Godfather: Part II,1974
Save the Last Dance,2001
A Nightmare on Elm Street 4: The Dream Master,1988
"Dude, WhereÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Â ÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã¢â‚¬Â¦Ãƒâ€šÃ‚Â¡ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã¢â‚¬Â¦Ãƒâ€šÃ‚Â¾ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¢s My Car?",2000
Young Guns,1988
About Last Night,2014
10 Things I Hate About You,1999
National Lampoon's Loaded Weapon 1,1993
The Butterfly Effect,2004
Snow Day,2000
This Christmas,2007
Baby Geniuses,1999
The Big Hit,1998
Harriet the Spy,1996
Child's Play 2,1990
Being John Malkovich,1999
Two Can Play That Game,2001
Earth to Echo,2014
Crazy/Beautiful,2001
Woo,1998
Dirty Work,1998
Serial Mom,1994
Dick,1999
Light It Up,1999
54,1998
Bubble Boy,2001
Birthday Girl,2001
21 & Over,2013
"Paris, je t'aime",2006
Resurrecting the Champ,2007
Admission,2013
The Widow of Saint-Pierre,2000
Chloe,2009
Faithful,1996
Find Me Guilty,2006
Excessive Force,1993
Infamous,2006
The Claim,2000
The Vatican Tapes,2015
Operation Chromite,2016
The Crocodile Hunter: Collision Course,2002
I Love You Phillip Morris,2009
Quest for Fire,1981
Antwone Fisher,2002
The Emperor's Club,2002
True Romance,1993
Womb,2010
Glengarry Glen Ross,1992
Cat People,1982
Sorority Row,2009
The Prisoner of Zenda,2037
Dancer in the Dark,2000
Oscar and Lucinda,1997
The Funeral,1996
The Land Before Time,1988
Tae Guk Gi: The Brotherhood of War,2004
American Pie,1999
Ernest & Celestine,2012
The Golden Child,1986
Barbershop,2002
Star Trek II: The Wrath of Khan,1982
Ace Ventura: Pet Detective,1994
Witness,1985
Beavis and Butt-Head Do America,1996
Jackie Brown,1997
Chronicle,2012
Yentl,1983
Time Bandits,1981
Crossroads,2002
Patton,1970
One Hour Photo,2002
Quarantine,2008
Johnson Family Vacation,2004
The Muppet Christmas Carol,1992
Frida,2002
Rounders,1998
Prophecy,1979
Stir of Echoes,1999
Philomena,2013
The Boys from Brazil,1978
My Baby's Daddy,2004
Nebraska,2013
Tales from the Crypt: Demon Knight,1995
Max Keeble's Big Move,2001
Crank,2006
Def Jam's How to Be a Player,1997
Living Out Loud,1998
Just Wright,2010
Rachel Getting Married,2008
The Postman Always Rings Twice,1981
Girl with a Pearl Earring,2003
Sorority Boys,2002
House of Flying Daggers,2004
Arbitrage,2012
Cadillac Records,2008
Screwed,2000
Fortress,1992
For Your Consideration,2006
Celebrity,1998
Running with Scissors,2006
From Justin to Kelly,2003
Girl 6,1996
In the Cut,2003
Two Lovers,2008
Last Orders,2001
The Pursuit of D.B. Cooper,1981
Ravenous,1999
The Dangerous Lives of Altar Boys,2002
Welcome to Collinwood,2002
Critical Care,1997
The Life Before Her Eyes,2007
Darling Companion,2012
Fateless,2005
Breakfast of Champions,1999
"A Woman, a Gun and a Noodle Shop",2009
Legend of a Rabbit,2011
Space Battleship Yamato,2010
5 Days of War,2011
10 Days in a Madhouse,2015
Snatch,2000
Pet Sematary,1989
Madadayo,1993
A Tale of Three Cities,2015
Gremlins,1984
Doctor Zhivago,2065
Trash,2014
Jackass Number Two,2006
My Cousin Vinny,1992
Drive Hard,2014
Major League,1989
Phone Booth,2002
Dead Man Walking,1995
Cruel Intentions,1999
History of the World: Part I,1981
Corky Romano,2001
Raising Cain,1992
F.I.S.T.,1978
Invaders from Mars,1986
Barry Lyndon,1975
Out Cold,2001
The Ladies Man,2000
Quartet,2012
Tomcats,2001
Frailty,2001
Kinsey,2004
Army of Darkness,1992
Slackers,2002
What's Eating Gilbert Grape,1993
The Visual Bible: The Gospel of John,2003
Vera Drake,2004
The Guru,2002
The Perez Family,1995
O,2001
Return to the Blue Lagoon,1991
The Molly Maguires,1970
Romance & Cigarettes,2005
Copying Beethoven,2006
Saw V,2008
Machine Gun McCain,1969
LOL,2012
Kabhi Alvida Naa Kehna,2006
An Ideal Husband,1999
The Last Days on Mars,2013
2001: A Space Odyssey,1968
The Blue Butterfly,2004
There Goes My Baby,1994
September Dawn,2007
The BÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Â ÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¦Ã‚Â¡ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â©lier Family,2014
Misconduct,2016
Saw III,2006
Stripes,1981
She's All That,1999
White Noise,2005
Madea's Family Reunion,2006
The Color of Money,1986
The Longest Day,2062
The Mighty Ducks,1992
The Grudge,2004
Happy Gilmore,1996
Jeepers Creepers,2001
Oliver!,1968
Recess: School's Out,2001
Mad Max Beyond Thunderdome,1985
Commando,1985
Friday After Next,2002
Insidious: Chapter 3,2015
The Last Dragon,1985
The Lawnmower Man,1992
Nick and Norah's Infinite Playlist,2008
The Banger Sisters,2002
Twilight Zone: The Movie,1983
Road House,1989
A Low Down Dirty Shame,1994
Employee of the Month,2006
Can't Hardly Wait,1998
The Outsiders,1983
The Dead Zone,1983
Sparkle,2012
Valentine,2001
A Prairie Home Companion,2006
Invasion U.S.A.,1985
Roll Bounce,2005
Rushmore,1998
Skyline,2010
The Second Best Exotic Marigold Hotel,2015
Mo' Better Blues,1990
Kung Pow: Enter the Fist,2002
Tremors,1990
Wrong Turn,2003
The Long Riders,1980
The Corruptor,1999
Mud,2013
Reno 911!: Miami,2007
Hey Arnold! The Movie,2002
The Matador,2005
Love Jones,1997
Get Over It,2001
Office Space,1999
Drop Dead Gorgeous,1999
Big Eyes,2014
Very Bad Things,1998
Sleepover,2004
Body Double,1984
Dirty Pretty Things,2002
Seeking a Friend for the End of the World,2012
The Collection,2012
Teacher's Pet,2004
The Red Violin,1998
The Straight Story,1999
Bad Words,2013
Heartbeeps,1981
Black or White,2014
On the Line,2001
Danny Collins,2015
"Jeff, Who Lives at Home",2011
Romeo Is Bleeding,1993
The Limey,1999
The House of Mirth,2000
Malone,1987
Bamboozled,2000
Sphinx,1981
A Better Life,2011
Gun Shy,2000
Nicholas Nickleby,2002
The Iceman,2012
Krrish,2006
Cecil B. Demented,2000
Owning Mahowny,2003
The Brothers Solomon,2007
My Blueberry Nights,2007
Illuminata,1998
Swept Away,2002
Shaolin Soccer,2001
The Brown Bunny,2004
The Swindle,1997
Rosewater,2014
The Chambermaid on the Titanic,1997
Coriolanus,2011
High Heels and Low Lifes,2001
Police Academy: Mission to Moscow,1994
Blood Done Sign My Name,2010
Elsa & Fred,2014
"An Alan Smithee Film: Burn, Hollywood, Burn",1998
The Good Guy,2009
Motherhood,2009
Strangerland,2015
Blonde Ambition,2007
The Oxford Murders,2008
Eulogy,2004
White Noise 2: The Light,2007
Beat the World,2011
Fifty Dead Men Walking,2008
Adam Resurrected,2008
The Devil's Tomb,2009
Partition,2007
"The Good, The Bad, The Weird",2008
Nurse 3-D,2013
The Lost City,2005
Next Friday,2000
American Heist,2014
Plastic,2014
Amour,2012
Poltergeist III,1988
Re-Kill,2015
"It's a Mad, Mad, Mad, Mad World",2063
Heavy Metal,1981
Richard III,1995
Into the Grizzly Maze,2015
Jab Tak Hai Jaan,2012
The Texas Chain Saw Massacre,1974
The Runaways,2010
Fiddler on the Roof,1971
Child's Play,1988
Sicko,2007
The Purge: Anarchy,2014
Down to You,2000
Harold & Kumar Go to White Castle,2004
The Contender,2000
Boiler Room,2000
Trading Places,1983
Black Christmas,2006
Breakin' All the Rules,2004
Henry V,1989
Chasing Papi,2003
The Way of the Gun,2000
Igby Goes Down,2002
PCU,1994
The Ultimate Gift,2006
The Ice Pirates,1984
Gracie,2007
Trust the Man,2005
Hamlet 2,2008
Velvet Goldmine,1998
The Wailing,2016
The Legend of Suriyothai,2001
Two Evil Eyes,1990
Barbecue,2014
All or Nothing,2002
Opal Dream,2006
Red Riding: In the Year of Our Lord 1974,2009
The Girl on the Train,2009
Crocodile Dundee,1986
The I Inside,2004
Awake,2007
Skin Trade,2014
The Lost Boys,1987
Crazy Heart,2009
The Rose,1979
Baggage Claim,2013
Barbarella,1968
Shipwrecked,1990
Election,1999
The Namesake,2006
Glitter,2001
The Haunting in Connecticut 2: Ghosts of Georgia,2013
Silmido,2003
All Is Lost,2013
Limbo,1999
The Wind That Shakes the Barley,2006
Quo Vadis,2051
Repo! The Genetic Opera,2008
Valley of the Wolves: Iraq,2006
Pulp Fiction,1994
The Muppet Movie,1979
Club Dread,2004
The Sound of Music,2065
Splash,1984
Stand by Me,1986
28 Days Later,2002
You Got Served,2004
Escape from Alcatraz,1979
Brown Sugar,2002
A Thin Line Between Love and Hate,1996
Shutter,2008
Modern Problems,1981
Much Ado About Nothing,1993
New Nightmare,1994
Drive Me Crazy,1999
Half Baked,1998
American Psycho,2000
The Good Girl,2002
Bon Cop Bad Cop,2006
The City of Your Final Destination,2009
Enough Said,2013
The Inkwell,1994
Shadow of the Vampire,2000
The Pallbearer,1996
Held Up,1999
Woman on Top,2000
8 Women,2002
Showdown in Little Tokyo,1991
Clay Pigeons,1998
Made in Dagenham,2010
When Did You Last See Your Father?,2007
Prefontaine,1997
The Wicked Lady,1983
Brooklyn Rules,2007
Restless,2012
The Singing Detective,2003
The Land Girls,1998
The Wendell Baker Story,2005
Pathology,2008
10th & Wolf,2006
Dear Wendy,2005
Aloft,2014
The Death and Life of Bobby Z,2007
Swelter,2014
My Lucky Star,2013
Green Street Hooligans: Underground,2013
The Blood of Heroes,1989
Code of Honor,2016
Driving Miss Daisy,1989
Soul Food,1997
Rumble in the Bronx,1995
Far from Men,2014
Thank You for Smoking,2005
Shopgirl,2005
The Hotel New Hampshire,1984
Narc,2002
Men with Brooms,2002
Witless Protection,2008
Masked and Anonymous,2003
Betty Fisher and Other Stories,2001
Code 46,2003
Outside Bet,2012
Black November,2012
Harry Brown,2009
The Omega Code,1999
Pound of Flesh,2015
Flashdance,1983
The Piano,1993
Darkness Falls,2003
Desperado,1995
Logan's Run,1976
Action Jackson,1988
The Descent,2005
Michael Jordan to the Max,2000
Devil's Due,2014
Flirting with Disaster,1996
In Too Deep,1999
Alien Zone,1978
A Serious Man,2009
Get Low,2010
Warlock,1989
The Last Temptation of Christ,1988
Outside Providence,1999
